decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
parallel,144,0.003,12,100,0,200,10,3,5,3,True,4.287245624989737,2,2,0.02,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 4}"
oracle,144,0.003,12,100,0,200,10,3,5,3,True,0.5484496669960208,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""a_noisy_boundary"": true, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
parallel,144,0.004,12,100,1,200,10,3,5,3,True,6.070244417001959,11,12,0.12,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 22}"
oracle,144,0.004,12,100,1,200,10,3,5,3,True,0.6740920830052346,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""a_noisy_boundary"": true, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
parallel,144,0.005,12,100,2,200,10,3,5,3,True,8.250899541948456,29,32,0.32,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 60}"
oracle,144,0.005,12,100,2,200,10,3,5,3,True,0.7919429159956053,0,1,0.01,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s3"", ""s3-s7"", ""s7-s11"", ""s11-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""oracle"", ""a_noisy_boundary"": true, ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
