decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,parallel_workers,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
parallel,144,0.003,12,100,0,200,10,3,7,3,False,4,6.176760000002105,0,0,0.0,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s4"", ""s2-s8"", ""s6-s12"", ""s10-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""n_a"": 3, ""n_a_solve"": 7, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
parallel,144,0.004,12,100,1,200,10,3,7,3,False,4,9.458326958992984,0,1,0.01,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s4"", ""s2-s8"", ""s6-s12"", ""s10-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""n_a"": 3, ""n_a_solve"": 7, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 0}"
parallel,144,0.005,12,100,2,200,10,3,7,3,False,4,12.974336874962319,8,10,0.1,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s4"", ""s2-s8"", ""s6-s12"", ""s10-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""parallel_workers"": 4, ""n_a"": 3, ""n_a_solve"": 7, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 17}"
