decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,b_noisy_boundary,window_shorten,shorten_pre_max_iter,sliding_method,flag_triggered_single_flip,bounded_two_flip,two_flip_candidates,a_boundary_weight_scale,aba_boundary_feedback,aba_max_flips,aba_candidate_cols,a_neighbor_rerank,a_rerank_top_k,a_neighbor_beta,a_two_color_order,parallel_ownership,parallel_workers,parallel_backend,top_k_boundary,soft_boundary_message,soft_boundary_one_prior,soft_boundary_zero_prior,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
parallel,144,0.003,12,100,0,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,b_centered_min,4,process,1,False,0.2,0.0001,2.57828558399342,33,33,0.33,13,8784,"{""schedule"": ""buffer_aligned"", ""parallel_ownership"": ""b_centered_min"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e0"", ""e12-e12"", ""e24-e24""], ""b_commit_cols"": [""e1-e11"", ""e13-e23""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""a_flagged_local"": 0, ""a_seam_flagged"": 0, ""b_flagged_local"": 0, ""final_flagged_count"": 33, ""a_committed_var_count"": 576, ""b_committed_var_count"": 8208, ""double_owned_vars"": 0, ""missing_owned_vars"": 0, ""double_owned_regions"": [], ""missing_owned_regions"": [], ""final_residual_weight_mean"": 2.17, ""final_residual_weight_max"": 12, ""nonzero_final_residual_row_count"": 120, ""final_residual_owner_weight"": {""B_owned_rows"": 0, ""A_owned_seam_rows"": 217, ""boundary_rows"": 133, ""unowned_rows"": 0}, ""final_residual_block_hist"": {""s1"": 18, ""s7"": 84, ""s13"": 115}}"
parallel,144,0.004,12,100,1,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,b_centered_min,4,process,1,False,0.2,0.0001,2.9625530840130523,45,45,0.45,13,8784,"{""schedule"": ""buffer_aligned"", ""parallel_ownership"": ""b_centered_min"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e0"", ""e12-e12"", ""e24-e24""], ""b_commit_cols"": [""e1-e11"", ""e13-e23""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""a_flagged_local"": 0, ""a_seam_flagged"": 0, ""b_flagged_local"": 0, ""final_flagged_count"": 45, ""a_committed_var_count"": 576, ""b_committed_var_count"": 8208, ""double_owned_vars"": 0, ""missing_owned_vars"": 0, ""double_owned_regions"": [], ""missing_owned_regions"": [], ""final_residual_weight_mean"": 3.46, ""final_residual_weight_max"": 17, ""nonzero_final_residual_row_count"": 132, ""final_residual_owner_weight"": {""B_owned_rows"": 0, ""A_owned_seam_rows"": 346, ""boundary_rows"": 190, ""unowned_rows"": 0}, ""final_residual_block_hist"": {""s1"": 9, ""s7"": 156, ""s13"": 181}}"
parallel,144,0.005,12,100,2,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,b_centered_min,4,process,1,False,0.2,0.0001,3.4269787919474766,60,63,0.63,13,8784,"{""schedule"": ""buffer_aligned"", ""parallel_ownership"": ""b_centered_min"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e0"", ""e12-e12"", ""e24-e24""], ""b_commit_cols"": [""e1-e11"", ""e13-e23""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""a_flagged_local"": 0, ""a_seam_flagged"": 0, ""b_flagged_local"": 0, ""final_flagged_count"": 60, ""a_committed_var_count"": 576, ""b_committed_var_count"": 8208, ""double_owned_vars"": 0, ""missing_owned_vars"": 0, ""double_owned_regions"": [], ""missing_owned_regions"": [], ""final_residual_weight_mean"": 4.77, ""final_residual_weight_max"": 22, ""nonzero_final_residual_row_count"": 162, ""final_residual_owner_weight"": {""B_owned_rows"": 0, ""A_owned_seam_rows"": 477, ""boundary_rows"": 298, ""unowned_rows"": 0}, ""final_residual_block_hist"": {""s1"": 30, ""s7"": 179, ""s13"": 268}}"
parallel,144,0.007,12,100,3,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,b_centered_min,4,process,1,False,0.2,0.0001,4.977613499970175,90,96,0.96,13,8784,"{""schedule"": ""buffer_aligned"", ""parallel_ownership"": ""b_centered_min"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e0"", ""e12-e12"", ""e24-e24""], ""b_commit_cols"": [""e1-e11"", ""e13-e23""], ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""a_flagged_local"": 0, ""a_seam_flagged"": 0, ""b_flagged_local"": 0, ""final_flagged_count"": 90, ""a_committed_var_count"": 576, ""b_committed_var_count"": 8208, ""double_owned_vars"": 0, ""missing_owned_vars"": 0, ""double_owned_regions"": [], ""missing_owned_regions"": [], ""final_residual_weight_mean"": 8.38, ""final_residual_weight_max"": 24, ""nonzero_final_residual_row_count"": 210, ""final_residual_owner_weight"": {""B_owned_rows"": 0, ""A_owned_seam_rows"": 838, ""boundary_rows"": 532, ""unowned_rows"": 0}, ""final_residual_block_hist"": {""s1"": 162, ""s7"": 306, ""s13"": 370}}"
