decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
sliding,144,0.003,12,1000,0,200,10,3,7,3,False,57.83800233295187,0,3,0.003,13,8784,"{""sliding_width"": 3}"
parallel,144,0.003,12,1000,0,200,10,3,7,3,False,66.05151612497866,2,3,0.003,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s4"", ""s2-s8"", ""s6-s12"", ""s10-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 7, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 4}"
sliding,144,0.004,12,1000,1,200,10,3,7,3,False,69.17908820800949,0,23,0.023,13,8784,"{""sliding_width"": 3}"
parallel,144,0.004,12,1000,1,200,10,3,7,3,False,98.45792725001229,25,34,0.034,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s4"", ""s2-s8"", ""s6-s12"", ""s10-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 7, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 51}"
sliding,144,0.005,12,1000,2,200,10,3,7,3,False,82.82613758300431,0,107,0.107,13,8784,"{""sliding_width"": 3}"
parallel,144,0.005,12,1000,2,200,10,3,7,3,False,131.73564775002887,89,132,0.132,13,8784,"{""schedule"": ""staggered"", ""a_windows"": 4, ""b_windows"": 3, ""a_window_rows"": [""s1-s4"", ""s2-s8"", ""s6-s12"", ""s10-s13""], ""b_window_rows"": [""s2-s4"", ""s6-s8"", ""s10-s12""], ""a_source"": ""decoded"", ""a_noisy_boundary"": false, ""n_a"": 3, ""n_a_solve"": 7, ""n_b"": 3, ""a_flagged_local"": 0, ""b_flagged_local"": 182}"
