decoder,N,p,num_repeat,num_shots,seed,max_iter,osd_order,n_a,n_a_solve,n_b,a_noisy_boundary,b_noisy_boundary,window_shorten,shorten_pre_max_iter,sliding_method,flag_triggered_single_flip,bounded_two_flip,two_flip_candidates,a_boundary_weight_scale,aba_boundary_feedback,aba_max_flips,aba_candidate_cols,a_neighbor_rerank,a_rerank_top_k,a_neighbor_beta,a_two_color_order,a_shifted_ensemble,a_shift_offsets,a_shifted_beta,tsae_top_k,tsae_boundary_top_k,tsae_stitch_mode,tsae_interface_branch,tsae_interface_cols_per_side,z_boundary_repair,z_repair_edge_width,z_joint_retry,seam_diagnostics,parallel_workers,parallel_backend,top_k_boundary,soft_boundary_message,soft_boundary_one_prior,soft_boundary_zero_prior,elapsed_sec,flagged,logical_or_flagged,ler,detector_blocks,num_cols,diagnostics
parallel,144,0.003,12,1000,0,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,True,"-2,0,2",1.0,1,1,none,False,1,False,2,False,True,4,process,1,False,0.2,0.0001,29.24446783401072,4,7,0.007,13,8784,"{""schedule"": ""buffer_aligned"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e1"", ""e11-e13"", ""e23-e24""], ""b_commit_cols"": [""e2-e10"", ""e14-e22""], ""step"": 6, ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""top_k_boundary"": 1, ""topk_selected_cost"": 0.0, ""flag_triggered_single_flip"": false, ""bounded_two_flip"": false, ""two_flip_candidates"": 4, ""a_boundary_weight_scale"": 1.0, ""aba_boundary_feedback"": false, ""aba_max_flips"": 2, ""aba_candidate_cols"": 16, ""a_neighbor_rerank"": false, ""a_rerank_top_k"": 2, ""a_neighbor_beta"": 1.0, ""a_neighbor_rerank_selected_nonzero"": 0, ""a_neighbor_rerank_total_risk"": 0.0, ""a_neighbor_rerank_total_cost"": 0.0, ""a_shifted_ensemble"": true, ""a_shift_offsets"": [-2, 0, 2], ""a_shifted_beta"": 1.0, ""tsae_top_k"": 1, ""tsae_boundary_top_k"": 1, ""tsae_stitch_mode"": ""none"", ""tsae_interface_branch"": false, ""tsae_interface_cols_per_side"": 1, ""tsae_interface_branch_tasks"": 0, ""tsae_interface_branch_payloads"": 0, ""tsae_interface_branch_cols"": 0, ""a_shifted_valid_offsets"": {""0"": [0], ""1"": [-2, 0, 2], ""2"": [0]}, ""a_shifted_selected_nonzero"": 710, ""a_shifted_total_risk"": 136773.0, ""a_shifted_total_cost"": 282379.7057021702, ""a_shifted_candidate_count"": 5000, ""tsae_stitch_attempts"": 0, ""tsae_stitch_accepted"": 0, ""tsae_stitch_fallback"": 0, ""tsae_stitch_non_payload"": 0, ""tsae_stitch_total_score"": 0.0, ""a_shifted_chain_dp"": false, ""chain_dp_shots"": 0, ""chain_dp_selected_nonzero"": 0, ""chain_dp_final_total_risk"": 0.0, ""tsae_diag_in_pool"": null, ""tsae_diag_closest_hamming"": null, ""tsae_diag_pool_size"": null, ""tsae_diag_picked_offset"": null, ""tsae_diag_oracle_offset"": null, ""a_two_color_order"": ""none"", ""a_two_color_first_flagged"": 0, ""a_two_color_second_flagged"": 0, ""z_boundary_repair"": false, ""z_repair_edge_width"": 2, ""z_repair_attempts"": 0, ""z_repair_accepted"": 0, ""z_repair_success_to_zero"": 0, ""z_repair_no_candidate"": 0, ""z_repair_decode_flagged"": 0, ""z_repair_weight_before"": 0, ""z_repair_weight_after"": 0, ""z_repair_delta_weight"": 0, ""z_repair_candidate_vars"": 0, ""z_repair_flipped_vars"": 0, ""z_repair_left_count"": 0, ""z_repair_right_count"": 0, ""z_repair_both_sides_count"": 0, ""z_joint_retry"": false, ""z_joint_attempts"": 0, ""z_joint_accepted"": 0, ""z_joint_success_to_zero"": 0, ""z_joint_local_flagged"": 0, ""z_joint_no_candidate"": 0, ""z_joint_weight_before"": 0, ""z_joint_weight_after"": 0, ""z_joint_delta_weight"": 0, ""z_joint_candidate_vars"": 0, ""z_joint_flipped_vars"": 0, ""z_joint_left_count"": 0, ""z_joint_right_count"": 0, ""z_joint_both_sides_count"": 0, ""aba_initial_b_flagged"": 0, ""aba_feedback_attempts"": 0, ""aba_feedback_proposed"": 0, ""aba_feedback_accepted"": 0, ""aba_rerun_windows"": 0, ""a_boundary_penalty_col_count"": 0, ""repair_attempts"": 0, ""repair_accepted"": 0, ""repair_success"": 0, ""twoflip_attempts"": 0, ""twoflip_accepted"": 0, ""twoflip_success"": 0, ""soft_boundary_message"": false, ""soft_boundary_one_prior"": 0.2, ""soft_boundary_zero_prior"": 0.0001, ""a_flagged_local"": 0, ""b_flagged_local"": 0, ""seam_diagnostics"": {""a_owned_rows"": [""s1"", ""s7"", ""s13""], ""b_owned_rows"": [""s2"", ""s3"", ""s4"", ""s5"", ""s6"", ""s8"", ""s9"", ""s10"", ""s11"", ""s12""], ""boundary_rows"": [""s1"", ""s13""], ""unowned_rows"": [], ""r_after_a_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 65065, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""r_after_a_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 1000, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 12, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 4, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_residual_weight_mean"": 0.012, ""final_residual_weight_max"": 4, ""nonzero_final_residual_row_count"": 9, ""r_after_a_block_hist"": {""s2"": 5213, ""s3"": 7062, ""s4"": 7085, ""s5"": 7024, ""s6"": 5848, ""s8"": 5663, ""s9"": 7166, ""s10"": 7345, ""s11"": 7134, ""s12"": 5525}, ""final_block_hist"": {""s2"": 5, ""s6"": 1, ""s8"": 5, ""s12"": 1}, ""b_local_global_mismatch_shots"": 0, ""b_local_global_mismatch_by_window"": [{""window"": ""s2-s6"", ""mismatch_shots"": 0, ""local_weight"": 6, ""global_weight"": 6}, {""window"": ""s8-s12"", ""mismatch_shots"": 0, ""local_weight"": 6, ""global_weight"": 6}], ""b_noisy_boundary"": {""enabled"": true, ""collected"": true, ""used_shots"": 4, ""used_rate"": 0.004, ""used_window_shots"": 8, ""total_weight"": 12, ""left_weight"": 10, ""right_weight"": 2, ""final_flagged_overlap_shots"": 4, ""final_flagged_without_noisy_shots"": 0, ""noisy_without_final_flagged_shots"": 0, ""by_window"": [{""window"": ""s2-s6"", ""used_shots"": 4, ""weight"": 6, ""left_weight"": 5, ""right_weight"": 1}, {""window"": ""s8-s12"", ""used_shots"": 4, ""weight"": 6, ""left_weight"": 5, ""right_weight"": 1}]}}}"
parallel,144,0.004,12,1000,1,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,True,"-2,0,2",1.0,1,1,none,False,1,False,2,False,True,4,process,1,False,0.2,0.0001,40.07078612502664,11,22,0.022,13,8784,"{""schedule"": ""buffer_aligned"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e1"", ""e11-e13"", ""e23-e24""], ""b_commit_cols"": [""e2-e10"", ""e14-e22""], ""step"": 6, ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""top_k_boundary"": 1, ""topk_selected_cost"": 0.0, ""flag_triggered_single_flip"": false, ""bounded_two_flip"": false, ""two_flip_candidates"": 4, ""a_boundary_weight_scale"": 1.0, ""aba_boundary_feedback"": false, ""aba_max_flips"": 2, ""aba_candidate_cols"": 16, ""a_neighbor_rerank"": false, ""a_rerank_top_k"": 2, ""a_neighbor_beta"": 1.0, ""a_neighbor_rerank_selected_nonzero"": 0, ""a_neighbor_rerank_total_risk"": 0.0, ""a_neighbor_rerank_total_cost"": 0.0, ""a_shifted_ensemble"": true, ""a_shift_offsets"": [-2, 0, 2], ""a_shifted_beta"": 1.0, ""tsae_top_k"": 1, ""tsae_boundary_top_k"": 1, ""tsae_stitch_mode"": ""none"", ""tsae_interface_branch"": false, ""tsae_interface_cols_per_side"": 1, ""tsae_interface_branch_tasks"": 0, ""tsae_interface_branch_payloads"": 0, ""tsae_interface_branch_cols"": 0, ""a_shifted_valid_offsets"": {""0"": [0], ""1"": [-2, 0, 2], ""2"": [0]}, ""a_shifted_selected_nonzero"": 721, ""a_shifted_total_risk"": 176488.0, ""a_shifted_total_cost"": 358106.4899421732, ""a_shifted_candidate_count"": 5000, ""tsae_stitch_attempts"": 0, ""tsae_stitch_accepted"": 0, ""tsae_stitch_fallback"": 0, ""tsae_stitch_non_payload"": 0, ""tsae_stitch_total_score"": 0.0, ""a_shifted_chain_dp"": false, ""chain_dp_shots"": 0, ""chain_dp_selected_nonzero"": 0, ""chain_dp_final_total_risk"": 0.0, ""tsae_diag_in_pool"": null, ""tsae_diag_closest_hamming"": null, ""tsae_diag_pool_size"": null, ""tsae_diag_picked_offset"": null, ""tsae_diag_oracle_offset"": null, ""a_two_color_order"": ""none"", ""a_two_color_first_flagged"": 0, ""a_two_color_second_flagged"": 0, ""z_boundary_repair"": false, ""z_repair_edge_width"": 2, ""z_repair_attempts"": 0, ""z_repair_accepted"": 0, ""z_repair_success_to_zero"": 0, ""z_repair_no_candidate"": 0, ""z_repair_decode_flagged"": 0, ""z_repair_weight_before"": 0, ""z_repair_weight_after"": 0, ""z_repair_delta_weight"": 0, ""z_repair_candidate_vars"": 0, ""z_repair_flipped_vars"": 0, ""z_repair_left_count"": 0, ""z_repair_right_count"": 0, ""z_repair_both_sides_count"": 0, ""z_joint_retry"": false, ""z_joint_attempts"": 0, ""z_joint_accepted"": 0, ""z_joint_success_to_zero"": 0, ""z_joint_local_flagged"": 0, ""z_joint_no_candidate"": 0, ""z_joint_weight_before"": 0, ""z_joint_weight_after"": 0, ""z_joint_delta_weight"": 0, ""z_joint_candidate_vars"": 0, ""z_joint_flipped_vars"": 0, ""z_joint_left_count"": 0, ""z_joint_right_count"": 0, ""z_joint_both_sides_count"": 0, ""aba_initial_b_flagged"": 0, ""aba_feedback_attempts"": 0, ""aba_feedback_proposed"": 0, ""aba_feedback_accepted"": 0, ""aba_rerun_windows"": 0, ""a_boundary_penalty_col_count"": 0, ""repair_attempts"": 0, ""repair_accepted"": 0, ""repair_success"": 0, ""twoflip_attempts"": 0, ""twoflip_accepted"": 0, ""twoflip_success"": 0, ""soft_boundary_message"": false, ""soft_boundary_one_prior"": 0.2, ""soft_boundary_zero_prior"": 0.0001, ""a_flagged_local"": 0, ""b_flagged_local"": 0, ""seam_diagnostics"": {""a_owned_rows"": [""s1"", ""s7"", ""s13""], ""b_owned_rows"": [""s2"", ""s3"", ""s4"", ""s5"", ""s6"", ""s8"", ""s9"", ""s10"", ""s11"", ""s12""], ""boundary_rows"": [""s1"", ""s13""], ""unowned_rows"": [], ""r_after_a_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 84003, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""r_after_a_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 1000, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 46, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 11, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_residual_weight_mean"": 0.046, ""final_residual_weight_max"": 6, ""nonzero_final_residual_row_count"": 13, ""r_after_a_block_hist"": {""s2"": 6491, ""s3"": 9180, ""s4"": 8994, ""s5"": 9205, ""s6"": 7763, ""s8"": 7196, ""s9"": 9456, ""s10"": 9460, ""s11"": 9203, ""s12"": 7055}, ""final_block_hist"": {""s2"": 24, ""s8"": 21, ""s12"": 1}, ""b_local_global_mismatch_shots"": 0, ""b_local_global_mismatch_by_window"": [{""window"": ""s2-s6"", ""mismatch_shots"": 0, ""local_weight"": 24, ""global_weight"": 24}, {""window"": ""s8-s12"", ""mismatch_shots"": 0, ""local_weight"": 22, ""global_weight"": 22}], ""b_noisy_boundary"": {""enabled"": true, ""collected"": true, ""used_shots"": 11, ""used_rate"": 0.011, ""used_window_shots"": 22, ""total_weight"": 46, ""left_weight"": 45, ""right_weight"": 1, ""final_flagged_overlap_shots"": 11, ""final_flagged_without_noisy_shots"": 0, ""noisy_without_final_flagged_shots"": 0, ""by_window"": [{""window"": ""s2-s6"", ""used_shots"": 11, ""weight"": 24, ""left_weight"": 24, ""right_weight"": 0}, {""window"": ""s8-s12"", ""used_shots"": 11, ""weight"": 22, ""left_weight"": 21, ""right_weight"": 1}]}}}"
parallel,144,0.005,12,1000,2,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,True,"-2,0,2",1.0,1,1,none,False,1,False,2,False,True,4,process,1,False,0.2,0.0001,42.90225270809606,38,111,0.111,13,8784,"{""schedule"": ""buffer_aligned"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e1"", ""e11-e13"", ""e23-e24""], ""b_commit_cols"": [""e2-e10"", ""e14-e22""], ""step"": 6, ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""top_k_boundary"": 1, ""topk_selected_cost"": 0.0, ""flag_triggered_single_flip"": false, ""bounded_two_flip"": false, ""two_flip_candidates"": 4, ""a_boundary_weight_scale"": 1.0, ""aba_boundary_feedback"": false, ""aba_max_flips"": 2, ""aba_candidate_cols"": 16, ""a_neighbor_rerank"": false, ""a_rerank_top_k"": 2, ""a_neighbor_beta"": 1.0, ""a_neighbor_rerank_selected_nonzero"": 0, ""a_neighbor_rerank_total_risk"": 0.0, ""a_neighbor_rerank_total_cost"": 0.0, ""a_shifted_ensemble"": true, ""a_shift_offsets"": [-2, 0, 2], ""a_shifted_beta"": 1.0, ""tsae_top_k"": 1, ""tsae_boundary_top_k"": 1, ""tsae_stitch_mode"": ""none"", ""tsae_interface_branch"": false, ""tsae_interface_cols_per_side"": 1, ""tsae_interface_branch_tasks"": 0, ""tsae_interface_branch_payloads"": 0, ""tsae_interface_branch_cols"": 0, ""a_shifted_valid_offsets"": {""0"": [0], ""1"": [-2, 0, 2], ""2"": [0]}, ""a_shifted_selected_nonzero"": 700, ""a_shifted_total_risk"": 213259.0, ""a_shifted_total_cost"": 430821.72791057697, ""a_shifted_candidate_count"": 5000, ""tsae_stitch_attempts"": 0, ""tsae_stitch_accepted"": 0, ""tsae_stitch_fallback"": 0, ""tsae_stitch_non_payload"": 0, ""tsae_stitch_total_score"": 0.0, ""a_shifted_chain_dp"": false, ""chain_dp_shots"": 0, ""chain_dp_selected_nonzero"": 0, ""chain_dp_final_total_risk"": 0.0, ""tsae_diag_in_pool"": null, ""tsae_diag_closest_hamming"": null, ""tsae_diag_pool_size"": null, ""tsae_diag_picked_offset"": null, ""tsae_diag_oracle_offset"": null, ""a_two_color_order"": ""none"", ""a_two_color_first_flagged"": 0, ""a_two_color_second_flagged"": 0, ""z_boundary_repair"": false, ""z_repair_edge_width"": 2, ""z_repair_attempts"": 0, ""z_repair_accepted"": 0, ""z_repair_success_to_zero"": 0, ""z_repair_no_candidate"": 0, ""z_repair_decode_flagged"": 0, ""z_repair_weight_before"": 0, ""z_repair_weight_after"": 0, ""z_repair_delta_weight"": 0, ""z_repair_candidate_vars"": 0, ""z_repair_flipped_vars"": 0, ""z_repair_left_count"": 0, ""z_repair_right_count"": 0, ""z_repair_both_sides_count"": 0, ""z_joint_retry"": false, ""z_joint_attempts"": 0, ""z_joint_accepted"": 0, ""z_joint_success_to_zero"": 0, ""z_joint_local_flagged"": 0, ""z_joint_no_candidate"": 0, ""z_joint_weight_before"": 0, ""z_joint_weight_after"": 0, ""z_joint_delta_weight"": 0, ""z_joint_candidate_vars"": 0, ""z_joint_flipped_vars"": 0, ""z_joint_left_count"": 0, ""z_joint_right_count"": 0, ""z_joint_both_sides_count"": 0, ""aba_initial_b_flagged"": 0, ""aba_feedback_attempts"": 0, ""aba_feedback_proposed"": 0, ""aba_feedback_accepted"": 0, ""aba_rerun_windows"": 0, ""a_boundary_penalty_col_count"": 0, ""repair_attempts"": 0, ""repair_accepted"": 0, ""repair_success"": 0, ""twoflip_attempts"": 0, ""twoflip_accepted"": 0, ""twoflip_success"": 0, ""soft_boundary_message"": false, ""soft_boundary_one_prior"": 0.2, ""soft_boundary_zero_prior"": 0.0001, ""a_flagged_local"": 0, ""b_flagged_local"": 0, ""seam_diagnostics"": {""a_owned_rows"": [""s1"", ""s7"", ""s13""], ""b_owned_rows"": [""s2"", ""s3"", ""s4"", ""s5"", ""s6"", ""s8"", ""s9"", ""s10"", ""s11"", ""s12""], ""boundary_rows"": [""s1"", ""s13""], ""unowned_rows"": [], ""r_after_a_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 101736, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""r_after_a_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 1000, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 220, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 38, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_residual_weight_mean"": 0.22, ""final_residual_weight_max"": 10, ""nonzero_final_residual_row_count"": 12, ""r_after_a_block_hist"": {""s2"": 8014, ""s3"": 11299, ""s4"": 11087, ""s5"": 10914, ""s6"": 9189, ""s8"": 9059, ""s9"": 11409, ""s10"": 11039, ""s11"": 11054, ""s12"": 8672}, ""final_block_hist"": {""s2"": 110, ""s8"": 110}, ""b_local_global_mismatch_shots"": 0, ""b_local_global_mismatch_by_window"": [{""window"": ""s2-s6"", ""mismatch_shots"": 0, ""local_weight"": 110, ""global_weight"": 110}, {""window"": ""s8-s12"", ""mismatch_shots"": 0, ""local_weight"": 110, ""global_weight"": 110}], ""b_noisy_boundary"": {""enabled"": true, ""collected"": true, ""used_shots"": 38, ""used_rate"": 0.038, ""used_window_shots"": 76, ""total_weight"": 220, ""left_weight"": 220, ""right_weight"": 0, ""final_flagged_overlap_shots"": 38, ""final_flagged_without_noisy_shots"": 0, ""noisy_without_final_flagged_shots"": 0, ""by_window"": [{""window"": ""s2-s6"", ""used_shots"": 38, ""weight"": 110, ""left_weight"": 110, ""right_weight"": 0}, {""window"": ""s8-s12"", ""used_shots"": 38, ""weight"": 110, ""left_weight"": 110, ""right_weight"": 0}]}}}"
parallel,144,0.007,12,1000,3,200,10,3,5,5,True,True,True,8,1,False,False,4,1.0,False,2,16,False,2,1.0,none,True,"-2,0,2",1.0,1,1,none,False,1,False,2,False,True,4,process,1,False,0.2,0.0001,67.52177666709758,275,556,0.556,13,8784,"{""schedule"": ""buffer_aligned"", ""a_windows"": 3, ""b_windows"": 2, ""a_window_rows"": [""s1-s3"", ""s5-s9"", ""s11-s13""], ""b_window_rows"": [""s2-s6"", ""s8-s12""], ""a_commit_cols"": [""e0-e1"", ""e11-e13"", ""e23-e24""], ""b_commit_cols"": [""e2-e10"", ""e14-e22""], ""step"": 6, ""a_source"": ""decoded"", ""a_noisy_boundary"": true, ""b_noisy_boundary"": true, ""window_shorten"": true, ""shorten_pre_max_iter"": 8, ""parallel_workers"": 4, ""parallel_backend"": ""process"", ""n_a"": 3, ""n_a_solve"": 5, ""n_b"": 5, ""top_k_boundary"": 1, ""topk_selected_cost"": 0.0, ""flag_triggered_single_flip"": false, ""bounded_two_flip"": false, ""two_flip_candidates"": 4, ""a_boundary_weight_scale"": 1.0, ""aba_boundary_feedback"": false, ""aba_max_flips"": 2, ""aba_candidate_cols"": 16, ""a_neighbor_rerank"": false, ""a_rerank_top_k"": 2, ""a_neighbor_beta"": 1.0, ""a_neighbor_rerank_selected_nonzero"": 0, ""a_neighbor_rerank_total_risk"": 0.0, ""a_neighbor_rerank_total_cost"": 0.0, ""a_shifted_ensemble"": true, ""a_shift_offsets"": [-2, 0, 2], ""a_shifted_beta"": 1.0, ""tsae_top_k"": 1, ""tsae_boundary_top_k"": 1, ""tsae_stitch_mode"": ""none"", ""tsae_interface_branch"": false, ""tsae_interface_cols_per_side"": 1, ""tsae_interface_branch_tasks"": 0, ""tsae_interface_branch_payloads"": 0, ""tsae_interface_branch_cols"": 0, ""a_shifted_valid_offsets"": {""0"": [0], ""1"": [-2, 0, 2], ""2"": [0]}, ""a_shifted_selected_nonzero"": 673, ""a_shifted_total_risk"": 276911.0, ""a_shifted_total_cost"": 559602.7723749314, ""a_shifted_candidate_count"": 5000, ""tsae_stitch_attempts"": 0, ""tsae_stitch_accepted"": 0, ""tsae_stitch_fallback"": 0, ""tsae_stitch_non_payload"": 0, ""tsae_stitch_total_score"": 0.0, ""a_shifted_chain_dp"": false, ""chain_dp_shots"": 0, ""chain_dp_selected_nonzero"": 0, ""chain_dp_final_total_risk"": 0.0, ""tsae_diag_in_pool"": null, ""tsae_diag_closest_hamming"": null, ""tsae_diag_pool_size"": null, ""tsae_diag_picked_offset"": null, ""tsae_diag_oracle_offset"": null, ""a_two_color_order"": ""none"", ""a_two_color_first_flagged"": 0, ""a_two_color_second_flagged"": 0, ""z_boundary_repair"": false, ""z_repair_edge_width"": 2, ""z_repair_attempts"": 0, ""z_repair_accepted"": 0, ""z_repair_success_to_zero"": 0, ""z_repair_no_candidate"": 0, ""z_repair_decode_flagged"": 0, ""z_repair_weight_before"": 0, ""z_repair_weight_after"": 0, ""z_repair_delta_weight"": 0, ""z_repair_candidate_vars"": 0, ""z_repair_flipped_vars"": 0, ""z_repair_left_count"": 0, ""z_repair_right_count"": 0, ""z_repair_both_sides_count"": 0, ""z_joint_retry"": false, ""z_joint_attempts"": 0, ""z_joint_accepted"": 0, ""z_joint_success_to_zero"": 0, ""z_joint_local_flagged"": 0, ""z_joint_no_candidate"": 0, ""z_joint_weight_before"": 0, ""z_joint_weight_after"": 0, ""z_joint_delta_weight"": 0, ""z_joint_candidate_vars"": 0, ""z_joint_flipped_vars"": 0, ""z_joint_left_count"": 0, ""z_joint_right_count"": 0, ""z_joint_both_sides_count"": 0, ""aba_initial_b_flagged"": 0, ""aba_feedback_attempts"": 0, ""aba_feedback_proposed"": 0, ""aba_feedback_accepted"": 0, ""aba_rerun_windows"": 0, ""a_boundary_penalty_col_count"": 0, ""repair_attempts"": 0, ""repair_accepted"": 0, ""repair_success"": 0, ""twoflip_attempts"": 0, ""twoflip_accepted"": 0, ""twoflip_success"": 0, ""soft_boundary_message"": false, ""soft_boundary_one_prior"": 0.2, ""soft_boundary_zero_prior"": 0.0001, ""a_flagged_local"": 0, ""b_flagged_local"": 0, ""seam_diagnostics"": {""a_owned_rows"": [""s1"", ""s7"", ""s13""], ""b_owned_rows"": [""s2"", ""s3"", ""s4"", ""s5"", ""s6"", ""s8"", ""s9"", ""s10"", ""s11"", ""s12""], ""boundary_rows"": [""s1"", ""s13""], ""unowned_rows"": [], ""r_after_a_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 132463, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""r_after_a_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 1000, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_weight"": {""A_owned_rows"": 0, ""B_owned_rows"": 1618, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_flagged"": {""A_owned_rows"": 0, ""B_owned_rows"": 275, ""boundary_rows"": 0, ""unowned_rows"": 0}, ""final_residual_weight_mean"": 1.618, ""final_residual_weight_max"": 12, ""nonzero_final_residual_row_count"": 12, ""r_after_a_block_hist"": {""s2"": 10378, ""s3"": 14453, ""s4"": 14585, ""s5"": 14413, ""s6"": 12562, ""s8"": 11731, ""s9"": 14318, ""s10"": 14334, ""s11"": 14363, ""s12"": 11326}, ""final_block_hist"": {""s2"": 809, ""s8"": 809}, ""b_local_global_mismatch_shots"": 0, ""b_local_global_mismatch_by_window"": [{""window"": ""s2-s6"", ""mismatch_shots"": 0, ""local_weight"": 809, ""global_weight"": 809}, {""window"": ""s8-s12"", ""mismatch_shots"": 0, ""local_weight"": 809, ""global_weight"": 809}], ""b_noisy_boundary"": {""enabled"": true, ""collected"": true, ""used_shots"": 275, ""used_rate"": 0.275, ""used_window_shots"": 550, ""total_weight"": 1618, ""left_weight"": 1618, ""right_weight"": 0, ""final_flagged_overlap_shots"": 275, ""final_flagged_without_noisy_shots"": 0, ""noisy_without_final_flagged_shots"": 0, ""by_window"": [{""window"": ""s2-s6"", ""used_shots"": 275, ""weight"": 809, ""left_weight"": 809, ""right_weight"": 0}, {""window"": ""s8-s12"", ""used_shots"": 275, ""weight"": 809, ""left_weight"": 809, ""right_weight"": 0}]}}}"
